Maquina;Peso
A;0,793
A;0,907
A;0,736
A;0,912
A;0,811
A;0,862
A;0,921
A;0,936
A;0,808
A;0,711
A;0,824
A;0,888
A;0,754
A;0,883
A;0,844
A;0,861
A;0,833
A;0,776
A;0,792
A;0,819
A;0,873
A;0,793
A;0,767
A;0,776
A;0,826
A;0,767
A;0,754
A;0,8
A;0,802
A;0,852
A;0,739
A;0,754
A;0,735
A;0,834
A;0,81
A;0,826
A;0,909
A;0,884
A;0,797
A;0,848
A;0,672
A;0,788
A;0,792
A;0,772
A;0,774
A;0,732
A;0,726
A;0,819
A;0,776
A;0,738
A;0,827
A;0,764
A;0,805
A;0,797
A;0,799
A;0,702
A;0,775
A;0,759
A;0,813
A;0,728
A;0,774
A;0,865
A;0,792
A;0,777
A;0,809
A;0,73
A;0,899
A;0,729
A;0,76
A;0,876
A;0,784
A;0,741
A;0,887
A;0,762
A;0,805
A;0,845
A;0,834
A;0,836
A;0,835
A;0,835
A;0,892
A;0,812
A;0,774
A;0,841
A;0,832
A;0,802
A;0,863
A;0,729
A;0,818
A;0,92
A;0,842
A;0,814
A;0,823
A;0,85
A;0,755
A;0,823
A;0,829
A;0,808
A;0,815
A;0,71
A;0,789
A;0,846
A;0,793
A;0,69
A;0,714
A;0,87
A;0,831
A;0,803
A;0,848
A;0,877
A;0,729
A;0,853
A;0,79
A;0,808
A;0,829
A;0,845
A;0,855
A;0,773
A;0,756
A;0,838
A;0,769
A;0,856
A;0,87
A;0,734
A;0,864
A;0,831
A;0,722
A;0,801
A;0,831
A;0,726
A;0,735
A;0,727
A;0,788
A;0,81
A;0,857
A;0,853
A;0,927
A;0,766
A;0,813
A;0,769
A;0,843
A;0,762
A;0,86
A;0,766
A;0,919
A;0,828
A;0,818
A;0,75
A;0,699
A;0,736
A;0,73
A;0,769
A;0,83
A;0,78
A;0,83
A;0,78
A;0,726
A;0,737
A;0,768
A;0,831
A;0,97
A;0,85
A;0,848
A;0,896
A;0,728
A;0,83
A;0,806
A;0,808
A;0,711
A;0,844
A;0,782
A;0,815
A;0,762
A;0,82
A;0,816
A;0,732
A;0,763
A;0,86
A;0,826
A;0,808
A;0,795
A;0,792
A;0,844
A;0,741
A;0,846
A;0,814
A;0,851
A;0,785
A;0,806
A;0,795
A;0,875
A;0,832
A;0,807
A;0,801
A;0,756
A;0,76
A;0,812
A;0,797
A;0,82
A;0,731
A;0,677
A;0,796
A;0,767
A;0,746
A;0,774
A;0,887
A;0,8
A;0,715
A;0,794
A;0,949
A;0,785
A;0,804
A;0,745
A;0,764
A;0,853
A;0,812
A;0,813
A;0,926
A;0,803
A;0,829
A;0,815
A;0,735
A;0,757
A;0,848
A;0,778
A;0,8
A;0,757
A;0,889
A;0,816
A;0,795
A;0,884
A;0,803
A;0,778
A;0,765
A;0,901
A;0,799
A;0,758
A;0,808
A;0,771
A;0,808
A;0,873
A;0,747
A;0,807
A;0,776
A;0,829
A;0,678
A;0,746
A;0,816
A;0,731
A;0,878
A;0,819
A;0,852
A;0,816
A;0,775
A;0,766
A;0,85
A;0,777
A;0,806
A;0,92
A;0,826
A;0,696
A;0,793
A;0,793
A;0,845
A;0,795
A;0,855
A;0,797
A;0,709
A;0,804
A;0,808
A;0,783
A;0,821
A;0,83
A;0,782
A;0,817
A;0,777
A;0,777
A;0,719
A;0,807
A;0,88
A;0,836
A;0,849
A;0,796
A;0,797
A;0,785
A;0,85
A;0,787
A;0,799
A;0,828
A;0,801
A;0,856
A;0,791
A;0,744
A;0,735
A;0,88
A;0,816
A;0,778
A;0,794
A;0,762
A;0,84
B;0,806
B;0,797
B;0,803
B;0,793
B;0,788
B;0,783
B;0,806
B;0,798
B;0,823
B;0,795
B;0,822
B;0,788
B;0,789
B;0,801
B;0,773
B;0,806
B;0,802
B;0,801
B;0,788
B;0,787
B;0,834
B;0,789
