Tempo;Temperatura;Marca
1039;90,4;1
6843;64,6;1
2253;79,6;1
1756;67,7;1
858;66,2;1
1170;84,3;1
2095;76,7;1
1850;60,3;1
210;73,1;1
624;63,5;1
1156;84,3;1
4319;66,4;1
713;83,4;1
344;76,8;1
316;57,3;1
3272;69,7;1
9677;60,9;1
2228;76,4;1
1386;64,7;1
54;91,2;1
4297;69,2;1
6048;68,3;1
3578;83;1
8456;62,2;1
4138;40,1;1
4048;85,2;1
1170;61,2;1
1296;64,1;1
64;69,8;1
98;75,5;1
315;61,4;1
4219;84;1
4566;71,6;1
2673;77,3;1
1811;61;1
1355;62,3;1
5223;73,3;1
158;60,4;1
3498;58,2;1
928;71,8;1
8332;72,7;1
798;68,4;1
2336;70,8;1
1375;71,4;1
1540;83,1;1
3010;68,1;1
1863;65,9;1
844;69,4;1
396;57,7;1
230;79,1;1
3097;78,2;1
36;64,2;1
1352;69,8;1
2124;62,9;1
360;73,8;1
1315;66,5;1
3719;66,6;1
819;61,6;1
2617;68,8;1
7647;71,7;1
2404;72,8;1
1497;75,2;1
6142;72,9;1
982;77;1
687;75,5;1
2533;65,3;1
1672;74,8;1
2649;60,1;1
8295;91;1
348;74,8;1
3881;59,2;1
4672;67,2;1
2791;64,3;1
2829;62,4;1
987;51,8;1
1182;75,5;1
943;71,1;1
4183;67,6;1
3186;73,4;1
4312;70,7;1
3608;83,5;1
1968;66,2;1
10228;64;1
1848;68,9;1
4560;89,7;1
2633;67,6;1
6789;67,3;1
4494;70;1
2929;69,4;1
10380;81,7;1
8402;64,6;1
5857;69,5;1
814;69,2;1
1139;64,1;1
2569;73,9;1
2207;74,2;1
5134;67,8;1
498;64,6;1
479;66,4;1
1887;59,1;1
3863;60,2;1
1229;48,9;1
5147;81,4;1
1169;71,4;1
3772;72,7;1
1638;76;1
4228;71,7;1
3397;71,3;1
817;83,9;1
1944;66,9;1
1045;60,2;1
3391;66,2;1
456;79,7;1
2356;74,5;1
411;67,4;1
4359;63,8;1
2235;78,4;1
6540;71,8;1
1921;65,5;1
271;66;1
3869;68,9;1
2023;50,8;1
1307;73,1;1
11468;63,4;1
438;94;1
822;55,1;1
5561;74,1;1
449;74,6;1
1249;61;1
4164;50,2;1
2043;70,9;1
1732;60,1;1
396;65,1;1
264;69,6;1
1013;69,2;1
1093;72,4;1
131;91,2;1
529;59,2;1
692;68,6;1
17810;62,2;1
5415;70;1
926;59,9;1
2676;54,6;1
1407;66,9;1
2552;72;1
12676;61,7;1
4644;76,7;1
7951;65,9;1
874;88,4;1
4665;55,8;1
213;82,2;1
5963;62,5;1
3387;59,5;1
8272;60;1
1907;59,1;1
927;57,4;1
7824;79,8;1
672;79,1;1
4405;56,3;1
3481;82,5;1
3224;66,6;1
1705;72,1;1
8144;67,8;1
8488;74,6;1
2130;80,4;1
1001;57,6;1
958;61,8;1
4133;64,6;1
1165;68,5;1
3169;78,7;1
5494;73,3;1
1301;62,2;1
1629;79,5;1
886;84,9;1
4635;74,9;1
2501;85,5;1
322;53,4;1
1756;64,5;1
1946;81;1
6245;77,4;1
324;80,2;1
6113;85,8;1
5354;71,9;1
1623;80;1
3116;84,4;1
1045;73,2;1
1231;78,2;1
1593;61,8;1
8327;72,9;1
272;73,6;1
1036;68,7;1
6138;63,1;1
1880;77,7;1
49;94,9;1
1077;68,9;1
3458;94,1;1
7038;70,3;1
2707;79,6;1
186;79,5;1
2874;74,6;1
1682;60,8;1
408;73,5;1
963;74,3;1
1291;50,8;1
4032;68,9;1
2012;66,6;1
52;53,8;1
910;67,2;1
140;82,7;1
644;55,4;1
5703;73,6;1
373;80,1;1
594;79,8;1
941;52,9;1
4420;57;1
6430;60,3;1
1578;64,3;1
5731;67,9;1
1693;80,5;1
1121;69,4;1
750;65,7;1
49;65;1
460;52,2;1
2840;74,2;1
3701;62,4;1
1325;49,7;1
11670;58,9;1
917;73,5;1
2694;86,6;1
90;94,7;1
2951;72,5;1
1879;72,7;1
1046;74;1
5397;79,9;1
2414;63,6;1
3479;65,1;1
7179;53,1;1
5530;75;1
216;58,5;1
2589;58,2;1
3506;83,2;1
3784;78,6;1
834;73,3;1
26;101,8;1
